                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.7844,                 3.5835,                 3.2074,                0.00804,                0.37956,                0.03345,                0.01118,                 2.7546,                 4.1127,                 3.0426,              0.0017756,              0.0017756,              0.0017756
                     36,                 2.7751,                  3.582,                 3.1121,                0.00938,                0.36496,                0.02249,                0.00851,                 2.7918,                 4.1182,                 3.0525,               0.001769,               0.001769,               0.001769
                     37,                 2.8558,                 3.5786,                 3.2339,                0.01351,                0.28467,                0.00782,                0.00342,                 2.8281,                 4.3179,                 3.1673,              0.0017624,              0.0017624,              0.0017624
                     38,                 2.7743,                 3.4952,                 3.1022,                0.02646,                0.24088,                 0.0228,                0.01018,                 2.8325,                 3.9095,                 3.1837,              0.0017558,              0.0017558,              0.0017558
                     39,                 2.7351,                 3.5399,                 3.1037,                0.01307,                0.21168,                0.03433,                0.01639,                 2.7679,                 3.9411,                 3.0117,              0.0017492,              0.0017492,              0.0017492
                     40,                 2.7872,                 3.3857,                 3.1777,                0.01083,                0.21898,                0.03138,                0.01182,                 2.7852,                 4.1581,                 2.9795,              0.0017426,              0.0017426,              0.0017426
                     41,                 2.8454,                 3.6593,                 3.1926,                0.00291,                0.60584,                0.03211,                0.01351,                 2.7391,                  3.674,                 2.9118,               0.001736,               0.001736,               0.001736
                     42,                 2.6139,                 3.4249,                 3.0646,                0.00328,                0.64234,                 0.0367,                0.01456,                 2.7826,                 3.4842,                 2.9182,              0.0017294,              0.0017294,              0.0017294
                     43,                 2.6367,                 3.4283,                 2.9635,                0.01435,                0.25547,                0.04443,                0.01469,                 2.8092,                 3.7534,                 2.9615,              0.0017228,              0.0017228,              0.0017228
                     44,                 2.6557,                   3.47,                 3.0075,                0.02092,                0.33577,                0.04446,                0.01305,                 2.8257,                  3.658,                 2.9732,              0.0017162,              0.0017162,              0.0017162
                     45,                 2.7404,                  3.321,                 3.1066,                 0.0029,                0.66423,                0.04032,                 0.0135,                 2.8253,                 3.5564,                 2.9775,              0.0017096,              0.0017096,              0.0017096
                     46,                  2.629,                 3.4139,                 3.0467,                0.12945,                0.18978,                0.04839,                0.01994,                 2.7859,                 3.3676,                 2.9319,               0.001703,               0.001703,               0.001703
                     47,                 2.6134,                 3.2842,                 3.0158,                 0.1049,                0.07299,                0.03646,                0.01518,                 2.7615,                 3.4453,                 2.8809,              0.0016964,              0.0016964,              0.0016964
                     48,                 2.6692,                    3.3,                 3.0835,                0.08141,                0.09489,                0.02962,                0.01167,                 2.7488,                 3.5857,                 2.9025,              0.0016898,              0.0016898,              0.0016898
                     49,                 2.7266,                  3.355,                 3.0719,                0.02204,                0.16788,                0.03901,                0.01504,                  2.798,                 3.8768,                 2.8874,              0.0016832,              0.0016832,              0.0016832
                     50,                 2.5972,                 3.2243,                 3.0093,                0.02477,                0.20438,                 0.0548,                0.01845,                 2.7517,                 4.0675,                 2.8444,              0.0016766,              0.0016766,              0.0016766
                     51,                 2.5846,                 3.1522,                 2.9016,                0.22227,                0.09489,                0.08157,                0.02768,                 2.6407,                 3.5463,                 2.7736,                0.00167,                0.00167,                0.00167
                     52,                 2.6422,                 3.3521,                  2.912,                0.12047,                0.12199,                0.06431,                0.02444,                 2.7033,                 3.2126,                  2.799,              0.0016634,              0.0016634,              0.0016634
                     53,                 2.6311,                 3.2654,                 2.8883,                0.13708,                0.05839,                 0.0301,                0.01061,                 2.7581,                 3.6343,                 2.9261,              0.0016568,              0.0016568,              0.0016568
                     54,                 2.6647,                 3.1065,                 2.9114,                0.08577,                0.19708,                0.07815,                 0.0281,                 2.7816,                 3.4046,                 2.8775,              0.0016502,              0.0016502,              0.0016502
                     55,                 2.6445,                 3.3368,                 2.9007,                 0.0213,                0.23358,                0.03121,                0.00971,                 2.7636,                 4.0142,                 2.8254,              0.0016436,              0.0016436,              0.0016436
                     56,                 2.7272,                 3.1724,                 2.9063,                0.02917,                0.23358,                0.04331,                0.01651,                 2.6939,                 3.8059,                 2.7778,               0.001637,               0.001637,               0.001637
                     57,                 2.5777,                 3.3348,                  2.871,                0.13551,                0.08029,                 0.0431,                0.01489,                 2.6263,                 3.5818,                 2.7422,              0.0016304,              0.0016304,              0.0016304
                     58,                 2.6276,                 3.2682,                 2.9655,                0.13431,                0.19708,                0.07249,                0.02505,                  2.641,                 3.6229,                 2.7162,              0.0016238,              0.0016238,              0.0016238
                     59,                 2.4644,                 3.1841,                 2.8573,                0.07651,                0.06569,                0.03855,                0.01616,                 2.5726,                 5.6956,                 2.7608,              0.0016172,              0.0016172,              0.0016172
                     60,                 2.5833,                 3.1317,                 2.8865,                 0.0163,                0.08029,                0.01796,                0.00947,                 2.5972,                 13.441,                 2.8897,              0.0016106,              0.0016106,              0.0016106
                     61,                 2.4692,                 3.2052,                 2.7838,                0.06577,                0.06569,                0.03878,                0.01811,                 2.6342,                 8.7532,                 2.9025,               0.001604,               0.001604,               0.001604
