                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.0202,                 1.9483,                 2.0652,                0.49112,                0.42157,                0.44594,                0.20246,                 1.9085,                 2.0292,                 2.0177,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.9889,                 1.9433,                 2.0587,                0.56589,                0.47899,                0.51266,                0.23588,                 1.8405,                 1.8706,                 1.9622,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.9368,                 1.8373,                 2.0082,                 0.6197,                0.48739,                0.54769,                0.25448,                 1.8671,                 1.7168,                 1.9565,               0.001307,               0.001307,               0.001307
                     37,                 1.9382,                 1.7905,                 1.9998,                0.58601,                0.48374,                0.53671,                0.26141,                 1.8177,                 1.7561,                 1.9434,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.9341,                 1.7983,                 2.0472,                0.67989,                0.47298,                0.57904,                0.27383,                 1.8109,                  1.676,                 1.9542,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8947,                 1.7467,                 1.9134,                0.58951,                    0.5,                0.55132,                0.26774,                 1.7893,                 1.7947,                 1.9203,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8854,                  1.817,                 1.9729,                0.67145,                 0.5056,                0.60131,                0.30618,                 1.7294,                 1.6406,                 1.8625,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8687,                 1.7876,                 1.9767,                0.61758,                0.48459,                0.56377,                0.28477,                 1.7656,                 1.7059,                 1.8909,               0.001208,               0.001208,               0.001208
                     42,                 1.8373,                 1.7333,                 1.9353,                0.71083,                0.51541,                0.59435,                0.29462,                 1.8101,                 1.7571,                 1.9276,              0.0011882,              0.0011882,              0.0011882
                     43,                  1.858,                 1.6945,                 1.9364,                0.69159,                0.53392,                 0.6327,                0.33062,                 1.6982,                 1.5407,                  1.837,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8039,                    1.7,                 1.9078,                0.67941,                0.55602,                0.62713,                0.32274,                 1.6826,                 1.6075,                 1.8437,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.7809,                 1.6502,                 1.8853,                0.73924,                 0.4888,                0.61101,                 0.3189,                  1.698,                 1.5591,                 1.8346,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.7698,                 1.6348,                 1.8566,                0.65106,                0.60084,                0.65527,                0.33847,                 1.6551,                 1.5558,                 1.7922,               0.001109,               0.001109,               0.001109
                     47,                 1.7442,                 1.6421,                 1.8732,                 0.7104,                0.56863,                0.64934,                0.34947,                 1.6364,                 1.5451,                 1.7963,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.7678,                 1.6302,                 1.8872,                0.66282,                0.47355,                0.58447,                0.29639,                 1.7137,                 1.7648,                 1.8353,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.7775,                 1.6534,                 1.8904,                0.77497,                0.55952,                0.66294,                0.35276,                  1.689,                 1.4107,                 1.8162,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.7172,                 1.5433,                 1.8226,                0.77045,                0.61204,                0.69808,                0.37551,                 1.6456,                  1.396,                 1.7782,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.6927,                 1.5316,                 1.8336,                0.73873,                0.59944,                0.68425,                0.36582,                 1.6402,                 1.3986,                 1.7693,                0.00101,                0.00101,                0.00101
                     52,                 1.7524,                 1.5841,                  1.821,                0.73138,                0.56437,                0.66694,                0.37102,                 1.5835,                 1.4674,                 1.7532,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7192,                 1.5394,                  1.857,                0.77972,                0.62465,                0.72431,                0.39549,                 1.5881,                 1.3906,                 1.7228,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6454,                 1.4654,                  1.753,                0.78683,                 0.6307,                0.73486,                 0.4013,                 1.6042,                 1.3648,                 1.7497,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6357,                 1.4722,                  1.764,                0.81609,                0.62045,                 0.7294,                0.41359,                 1.5403,                 1.2997,                 1.7349,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.5901,                 1.3929,                 1.7079,                0.83934,                0.62924,                0.74375,                0.44019,                 1.4962,                 1.3564,                 1.6547,               0.000911,               0.000911,               0.000911
                     57,                 1.6624,                 1.4617,                 1.7587,                0.79495,                0.65702,                0.75033,                0.43772,                 1.5224,                 1.2539,                 1.6658,              0.0008912,              0.0008912,              0.0008912
