                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3437,                 4.3754,                 4.1987,                0.00186,                0.49474,                0.01259,                0.00351,                 3.2679,                 5.0578,                 4.1521,                0.00032,                0.00032,                0.00032
                      2,                 3.2268,                 4.1289,                 4.1461,                0.00184,                0.49123,                0.01038,                0.00323,                 3.2446,                 5.0173,                 4.1204,             0.00065347,             0.00065347,             0.00065347
                      3,                 3.1972,                 4.2051,                 4.0815,                 0.0017,                0.45965,                0.00429,                0.00121,                 3.2706,                  5.132,                 3.9734,              0.0009802,              0.0009802,              0.0009802
                      4,                 3.2052,                 4.0786,                 3.9419,                0.00181,                0.48421,                0.00484,                0.00151,                 3.2095,                 4.7883,                 3.9615,              0.0013002,              0.0013002,              0.0013002
                      5,                 3.0438,                 3.8949,                 3.7631,                0.00176,                0.47368,                0.00707,                0.00224,                 3.2709,                  4.877,                 3.9771,              0.0016135,              0.0016135,              0.0016135
                      6,                 3.1526,                 3.9066,                 3.6566,                0.00187,                0.50877,                0.00317,                0.00093,                 3.1643,                 5.6202,                 3.6866,               0.001901,               0.001901,               0.001901
                      7,                 2.9878,                 3.7487,                 3.5568,                0.00352,                0.50526,                0.00874,                0.00328,                 3.1708,                 4.6132,                 3.8761,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.9697,                 3.8058,                 3.4915,                0.00254,                0.57544,                 0.0217,                0.00492,                 3.1415,                 4.8429,                 3.6637,              0.0018614,              0.0018614,              0.0018614
                      9,                  3.033,                 3.7574,                 3.4106,                0.00239,                0.62456,                0.01446,                0.00405,                 2.9785,                 4.2444,                 3.3468,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.8152,                 3.6977,                 3.2889,                0.00299,                0.14386,                0.00318,                0.00105,                 3.1312,                 49.015,                 4.2124,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.7682,                 3.6049,                 3.2123,                 0.0061,                0.15439,                0.00518,                0.00186,                 2.9406,                 15.953,                 4.3372,               0.001802,               0.001802,               0.001802
