                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.3119,                 2.2102,                 2.5093,                0.69071,                0.53165,                0.62244,                0.29835,                 2.1223,                 2.1729,                 2.4356,              0.0017822,              0.0017822,              0.0017822
                     35,                 2.2603,                 2.0821,                  2.432,                0.72398,                0.44823,                0.56225,                0.26844,                 2.1063,                 2.2834,                 2.4061,              0.0017756,              0.0017756,              0.0017756
                     36,                 2.3308,                 2.3078,                 2.5553,                0.44657,                0.42405,                0.43252,                0.20976,                 2.0238,                  3.207,                   2.38,               0.001769,               0.001769,               0.001769
                     37,                 2.2385,                 2.1343,                  2.484,                0.68605,                0.56329,                0.61022,                0.30147,                 2.0846,                 2.8633,                 2.4118,              0.0017624,              0.0017624,              0.0017624
                     38,                 2.3202,                 2.1458,                 2.5423,                0.65181,                0.59494,                0.65128,                0.35095,                 2.0124,                 1.6908,                 2.2935,              0.0017558,              0.0017558,              0.0017558
                     39,                 2.3085,                  2.009,                 2.5045,                0.77008,                0.52998,                0.65629,                0.32091,                 1.9759,                 1.9737,                 2.2952,              0.0017492,              0.0017492,              0.0017492
                     40,                 2.1787,                  1.937,                  2.415,                0.84626,                0.48101,                0.62367,                0.31617,                 1.9351,                 1.9845,                 2.3184,              0.0017426,              0.0017426,              0.0017426
                     41,                 2.0953,                 1.9931,                 2.3941,                 0.7955,                    0.5,                0.63318,                0.32246,                 1.9899,                 1.9112,                 2.3785,               0.001736,               0.001736,               0.001736
                     42,                 2.2041,                 2.1083,                 2.4434,                0.81821,                0.59824,                0.68548,                0.34111,                 1.8844,                  1.865,                 2.3181,              0.0017294,              0.0017294,              0.0017294
                     43,                 2.0217,                 1.8013,                 2.2094,                0.75289,                0.57595,                0.71424,                0.37818,                 1.8309,                 1.7176,                 2.2283,              0.0017228,              0.0017228,              0.0017228
                     44,                 2.0639,                 1.9323,                 2.3259,                0.77378,                0.60127,                0.72041,                0.38965,                 1.8273,                 1.9684,                 2.2138,              0.0017162,              0.0017162,              0.0017162
                     45,                 2.1044,                 2.0037,                 2.3189,                0.77464,                0.62025,                0.74086,                0.39466,                 1.9167,                 2.4408,                 2.2822,              0.0017096,              0.0017096,              0.0017096
                     46,                  2.098,                 1.9413,                 2.2848,                 0.7767,                0.57238,                0.68287,                0.37953,                 1.8215,                 1.7737,                 2.2413,               0.001703,               0.001703,               0.001703
                     47,                 1.9855,                 1.7895,                 2.1614,                0.82657,                0.59494,                0.69606,                0.37775,                 1.8404,                 1.6776,                 2.2311,              0.0016964,              0.0016964,              0.0016964
                     48,                 2.0466,                 1.9174,                 2.2997,                0.77704,                0.56962,                0.69539,                0.38953,                 1.8139,                 1.6396,                 2.2015,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.9638,                 1.8289,                 2.1785,                0.75297,                0.54017,                0.69247,                0.40225,                 1.7878,                 1.7633,                 2.1945,              0.0016832,              0.0016832,              0.0016832
                     50,                 2.1038,                  1.869,                 2.3368,                0.84964,                0.57225,                0.74092,                0.36708,                 1.9306,                 1.9131,                 2.2452,              0.0016766,              0.0016766,              0.0016766
                     51,                 2.0147,                  1.811,                 2.2397,                0.85078,                0.62658,                0.75838,                0.42678,                 1.7271,                 1.6141,                 2.1188,                0.00167,                0.00167,                0.00167
                     52,                 2.0036,                 1.7986,                 2.2884,                0.81471,                0.57595,                0.68717,                0.34054,                 1.8485,                 1.6751,                 2.2016,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.9601,                 1.7431,                 2.1346,                0.70887,                0.53937,                0.63633,                0.30224,                 1.8712,                 1.9479,                 2.2483,              0.0016568,              0.0016568,              0.0016568
                     54,                 2.0005,                 1.8362,                 2.1402,                0.76607,                0.60127,                 0.7001,                0.33737,                 1.9103,                 2.5611,                 2.2419,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.9344,                 1.7689,                 2.1538,                0.82139,                0.55063,                0.70556,                0.37726,                 1.8558,                  3.046,                 2.2261,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.9927,                 1.7989,                  2.227,                0.86573,                0.57131,                0.74909,                0.41747,                 1.7661,                 1.7167,                 2.1083,               0.001637,               0.001637,               0.001637
                     57,                 1.9213,                 1.7253,                 2.1193,                0.85293,                0.62399,                0.74756,                0.40532,                 1.7723,                  1.799,                 2.1094,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.8295,                 1.6587,                 2.1178,                 0.8241,                0.64557,                0.79163,                 0.4479,                  1.696,                 1.5829,                 2.0863,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.9062,                 1.7088,                 2.1716,                0.89937,                0.61392,                0.78125,                0.44704,                 1.6599,                 1.5182,                  2.063,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.9764,                 1.7855,                 2.1998,                 0.8923,                0.62924,                0.78461,                0.42841,                 1.7017,                 1.7125,                 2.1104,              0.0016106,              0.0016106,              0.0016106
                     61,                 1.7739,                   1.58,                 2.0125,                0.86024,                0.64557,                0.77817,                0.44459,                 1.6653,                 1.4699,                 2.0497,               0.001604,               0.001604,               0.001604
                     62,                 1.8721,                 1.7028,                 2.1262,                0.85652,                0.60759,                0.70471,                0.41894,                 1.7206,                 1.7031,                  2.107,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.8734,                 1.7152,                 2.0621,                0.85692,                 0.6519,                0.75063,                0.45725,                 1.6205,                 1.5875,                 2.0264,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.8242,                 1.6444,                 2.0681,                0.86104,                0.63291,                0.78882,                0.44986,                 1.7116,                 1.4724,                 2.0672,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.7267,                 1.6463,                 1.9685,                0.87485,                0.61941,                0.79612,                0.46353,                 1.6277,                 1.4363,                 2.0205,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.8694,                 1.6799,                 2.1246,                 0.7048,                0.66456,                0.75682,                0.44942,                 1.6318,                 1.4832,                 2.0397,               0.001571,               0.001571,               0.001571
                     67,                 1.9336,                 1.6763,                 2.1774,                0.74067,                0.61392,                0.70276,                0.39404,                 1.7055,                 1.6075,                 2.1059,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.7687,                 1.5455,                 2.0563,                 0.8705,                0.65823,                0.76056,                0.45563,                 1.6222,                 1.6558,                 2.0272,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.7515,                 1.4955,                 1.9314,                0.86979,                0.62025,                0.79429,                0.46462,                 1.6727,                 1.5667,                 2.0408,              0.0015512,              0.0015512,              0.0015512
                     70,                  1.831,                 1.6532,                 2.1372,                0.72197,                0.67383,                0.71489,                 0.3725,                 1.7111,                 2.2109,                 2.0774,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.8033,                  1.604,                  2.017,                0.83589,                0.64475,                0.78465,                0.45088,                 1.6574,                 1.8254,                  2.023,               0.001538,               0.001538,               0.001538
                     72,                 1.8217,                 1.5593,                 2.0028,                0.83783,                0.68354,                0.82575,                0.48748,                  1.601,                 1.4383,                 1.9542,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.7354,                 1.5323,                 1.9849,                0.88225,                0.67089,                0.82743,                0.49068,                 1.6317,                 1.4339,                 1.9704,              0.0015248,              0.0015248,              0.0015248
