                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.606,                 5.2245,                 4.2697,                0.00113,                0.25833,                0.00229,                0.00073,                 3.8039,                 5.8253,                 4.1589,                0.00026,                0.00026,                0.00026
                      2,                 3.6101,                  4.937,                  4.197,                0.00111,                 0.2625,                0.00153,                 0.0006,                 3.8004,                 5.7622,                 4.1554,             0.00053822,             0.00053822,             0.00053822
                      3,                 3.3642,                 4.5355,                 4.1217,                 0.0011,                 0.2625,                0.00166,                0.00066,                 3.7958,                 5.5955,                 4.1501,             0.00081459,             0.00081459,             0.00081459
                      4,                 3.3797,                 4.6067,                 4.0484,                0.00108,                0.25833,                0.00284,                0.00129,                 3.7663,                 5.2236,                 4.1474,              0.0010891,              0.0010891,              0.0010891
                      5,                 3.4555,                 4.4274,                  3.855,                0.00128,                0.25833,                0.00839,                0.00247,                 3.8026,                 5.1487,                 4.2987,              0.0013618,              0.0013618,              0.0013618
                      6,                 3.2844,                 4.2683,                 3.7177,                0.00232,                0.17083,                0.00228,                0.00084,                 3.9481,                 4.6829,                 4.5401,              0.0016326,              0.0016326,              0.0016326
                      7,                 3.2081,                  4.071,                 3.5667,                0.00134,                0.18333,                0.00112,                0.00043,                 4.0446,                 4.6887,                 4.5211,              0.0019016,              0.0019016,              0.0019016
                      8,                 3.1476,                 4.0449,                 3.5017,                0.00114,                0.29167,                0.00286,                0.00078,                 3.7573,                  5.015,                 4.3448,              0.0019538,              0.0019538,              0.0019538
                      9,                 3.1013,                 3.8838,                  3.371,                0.00901,                 0.0375,                0.00149,                0.00039,                 3.9361,                 19.986,                 5.8951,              0.0019472,              0.0019472,              0.0019472
                     10,                 2.9835,                 3.7344,                 3.2551,                  0.003,                 0.1875,                0.00154,                0.00047,                 3.8294,                 38.669,                 4.0292,              0.0019406,              0.0019406,              0.0019406
                     11,                 2.9161,                 3.5219,                 3.2006,                0.10786,                0.03333,                 0.0281,                0.00843,                 3.1868,                 3.8669,                  3.572,               0.001934,               0.001934,               0.001934
                     12,                 2.9858,                 3.7129,                 3.2274,                0.11615,                0.11667,                0.06042,                0.01814,                 2.8798,                   4.41,                 3.5883,              0.0019274,              0.0019274,              0.0019274
                     13,                 2.9831,                 3.4135,                 3.1449,                0.11902,                0.10417,                0.03985,                0.01252,                 2.7656,                 11.951,                 3.4475,              0.0019208,              0.0019208,              0.0019208
                     14,                 2.9813,                 3.3485,                 3.0971,                0.02874,                0.10833,                0.01098,                0.00327,                 2.9596,                 7.3636,                 6.1778,              0.0019142,              0.0019142,              0.0019142
                     15,                 2.8946,                 3.3403,                 3.1502,                0.11776,                0.10417,                0.03886,                0.00887,                 3.2702,                 4.2735,                 3.9926,              0.0019076,              0.0019076,              0.0019076
                     16,                  2.754,                  3.153,                 3.0175,                0.01432,                0.22083,                0.00851,                0.00294,                 2.7433,                  23.76,                 3.8864,               0.001901,               0.001901,               0.001901
                     17,                 2.8134,                 3.1973,                 3.0826,                0.05399,                 0.0625,                  0.017,                0.00529,                 2.8905,                 9.3901,                 3.5483,              0.0018944,              0.0018944,              0.0018944
                     18,                 2.7543,                 3.0715,                 2.9685,                0.25319,                0.20417,                0.11115,                0.04591,                 2.5078,                 5.0743,                 2.7628,              0.0018878,              0.0018878,              0.0018878
                     19,                 2.7811,                 2.9984,                 2.9362,                0.42716,                 0.1875,                0.19883,                0.06296,                  2.591,                 3.0615,                 2.7825,              0.0018812,              0.0018812,              0.0018812
                     20,                 2.7509,                 2.8306,                 2.8761,                 0.0234,                   0.15,                0.01271,                0.00533,                 2.6638,                 15.947,                 3.5419,              0.0018746,              0.0018746,              0.0018746
                     21,                 2.7066,                 2.8366,                 2.9022,                0.27213,                0.22083,                0.13922,                0.04956,                 2.5038,                 3.3127,                 2.7147,               0.001868,               0.001868,               0.001868
                     22,                  2.709,                 2.8205,                 2.8387,                0.33645,                0.26667,                0.24156,                0.07859,                 2.6699,                  3.096,                  2.848,              0.0018614,              0.0018614,              0.0018614
                     23,                 2.7009,                 2.8551,                 2.8437,                0.29847,                0.25417,                0.20483,                0.09661,                 2.3631,                 2.8574,                 2.5635,              0.0018548,              0.0018548,              0.0018548
                     24,                 2.6441,                 2.7612,                 2.8267,                  0.362,                0.21667,                0.18851,                 0.0714,                  2.456,                 2.8928,                 2.6667,              0.0018482,              0.0018482,              0.0018482
