                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8203,                 4.8601,                 4.3563,                0.00124,                0.28481,                0.00293,                0.00116,                 3.9271,                 5.0892,                 4.1599,                0.00018,                0.00018,                0.00018
                      2,                  3.532,                 4.5493,                 4.2554,                0.00128,                0.29114,                0.00231,                0.00078,                 3.9266,                 5.0698,                 4.1612,             0.00037749,             0.00037749,             0.00037749
                      3,                 3.5373,                 4.4994,                 4.1914,                0.00126,                0.29114,                0.00248,                0.00075,                 3.9243,                 5.0195,                 4.1652,             0.00057234,             0.00057234,             0.00057234
                      4,                 3.4465,                 4.3824,                 4.0842,                 0.0013,                 0.3038,                0.00205,                 0.0007,                 3.9192,                 4.8977,                 4.1728,             0.00076456,             0.00076456,             0.00076456
                      5,                 3.4006,                 4.2004,                 3.9333,                0.00117,                0.27848,                0.00158,                0.00064,                 3.9292,                 4.6992,                 4.1957,             0.00095413,             0.00095413,             0.00095413
                      6,                 3.3039,                 3.9116,                  3.735,                0.00111,                0.26582,                 0.0018,                0.00064,                  3.971,                 4.5093,                 4.2606,              0.0011411,              0.0011411,              0.0011411
                      7,                 3.2585,                 4.0788,                 3.6272,                0.00137,                0.28481,                0.00204,                0.00073,                 4.0192,                 4.5069,                 4.3905,              0.0013254,              0.0013254,              0.0013254
                      8,                 3.0339,                 3.7044,                 3.4632,                0.00239,                0.22152,                0.00243,                0.00104,                 3.9553,                 4.4292,                 4.3509,               0.001507,               0.001507,               0.001507
                      9,                 3.1372,                 3.7481,                 3.4467,                0.00233,                0.23418,                0.00216,                0.00088,                 3.7968,                 4.3874,                  4.154,               0.001686,               0.001686,               0.001686
                     10,                 2.8647,                 3.5855,                 3.3149,                0.00302,                0.29114,                0.00834,                0.00208,                 3.5747,                 4.2667,                 3.8062,              0.0018624,              0.0018624,              0.0018624
                     11,                 3.0207,                  3.573,                 3.2277,                0.00323,                0.36076,                0.00915,                0.00234,                 3.4436,                 4.2471,                 3.7281,               0.001868,               0.001868,               0.001868
                     12,                 2.9987,                 3.5086,                 3.2007,                0.00414,                 0.0443,                0.00843,                0.00268,                 2.9418,                  6.977,                 3.4422,              0.0018548,              0.0018548,              0.0018548
                     13,                 2.9109,                 3.4741,                  3.127,                0.02294,                0.39873,                0.01477,                0.00482,                 2.8997,                 4.0279,                 3.3494,              0.0018416,              0.0018416,              0.0018416
                     14,                 2.9235,                 3.2243,                 3.0958,                0.09577,                0.08228,                0.04184,                0.01302,                 3.1792,                 13.881,                 3.4574,              0.0018284,              0.0018284,              0.0018284
